Word,Count
sleek,234
work,6837
item,2611
lot,2243
holds,684
rings,386
without,1289
opening,190
ring,4539
order,5541
high,3501
fatherinlaw,11
loves,6106
watch,8655
call,149
bra,6552
doesnt,2554
glide,3
anywhere,151
husband,3000
usually,1046
9,888
fine,4465
thought,1956
10,1153
would,8519
excellent,9172
thank,850
impressed,739
poor,3247
wife,1875
bad,4707
starter,92
pin,175
necklace,2133
58,131
short,3768
first,3571
clothing,410
amazon,1326
happy,8629
save,452
money,4577
broad,46
shoulders,274
light,4065
sweater,1877
see,1785
scary,31
costume,3689
need,3097
sizes,3070
absolutely,3091
loved,8171
style,5195
way,6418
ridiculously,126
green,750
wide,4088
dickies,402
hooded,73
jacket,3595
selected,7
boot,5602
market,210
pleased,2724
selection,210
walking,2831
quite,1713
outstanding,417
casual,2343
company,614
makes,1531
snap,120
backs,99
cant,2934
stop,199
buying,1357
backpack,1004
texture,184
disappointed,4916
broke,1024
immediately,260
chance,191
use,3316
yet,1343
feel,4783
swim,585
set,1674
deb,4
value,5303
paid,413
review,1244
runs,8050
lifter,18
cudas,7
returned,1647
still,4370
waiting,126
refund,111
material,7856
every,2547
day,4070
basic,952
heels,652
run,4675
dmc,5
approve,27
cloud,154
durable,2587
warm,7129
amazing,4335
though,2724
long,6394
straps,1145
suck,117
flattering,1902
jean,599
curves,174
,409
cotton,1522
son,3003
toolol,2
socks,7294
different,2089
colors,3969
favorite,5985
pair,7966
sandals,4276
nursing,602
sports,803
false,93
advertising,68
finest,38
leggings,1932
didnt,4154
hips,306
definitely,1887
waste,1557
since,1006
authentic,266
looking,9510
ranger,15
cap,722
select,32
wont,1218
regret,198
bounce,79
could,2537
find,2239
store,546
swarovski,42
braclet,33
ever,6522
spanx,84
tights,643
vs,178
assets,10
dont,7359
iron,142
im,5860
much,5759
happier,203
yak,2
bead,94
bracelet,1613
purchased,1991
earlier,121
toolkit,3
prohibitively,1
pink,1146
sad,516
got,4423
toddler,703
worried,166
man,742
hanky,17
wearing,2802
biggest,59
comfort,4658
larger,3246
bought,7289
3,1951
wallets,79
kept,470
arch,1601
support,4646
finally,1255
deluxe,24
meh,929
funky,163
forgot,46
using,495
asked,137
must,2188
silver,946
surfer,14
fan,936
name,298
deceiving,121
gift,6184
comfortablefind,1
large,8189
ordered,5666
git,11
nephew,140
let,298
pick,159
design,3140
others,666
huge,1121
disappointment,390
boy,456
update,202
description,529
skirt,1957
true,3689
side,1154
ankle,720
downanddirty,10
poorly,575
designed,354
real,1853
world,280
54,186
adult,339
worked,1256
customer,1164
murse,4
swimsuit,471
gorgeous,2979
picture,3135
gold,941
buckle,354
leather,2755
belt,3043
realize,179
button,552
flies,14
id,950
say,1292
barely,251
tad,633
materials,382
scrusher,1
brush,71
steel,377
base,188
wonderfully,288
together,308
troubles,10
putting,174
girl,1046
broken,588
tried,827
jeans,6180
found,1344
simple,1287
stylish,3808
length,2246
anything,628
golf,274
exactly,3230
alexander,8
julian,4
mens,2237
32mm,1
reversible,59
beltblackbrown36,1
shopping,232
bag,7285
ignore,26
negative,107
reviews,1522
back,2931
pack,623
cheap,5406
interesting,109
trip,483
disney,175
held,429
perfectly,2368
able,612
return,1741
last,2250
running,1975
owned,1076
suit,1845
service,1164
robe,1054
giving,268
teenage,106
